description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date,incident_time
stationary traffic,,Rua de São Tomé e Príncipe,N105,,Jam,Major,211,203,2019-02-28,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,953,152,2019-02-28,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,929,197,2019-02-28,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,180,137,2019-02-28,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,326,2019-02-28,19:45:01
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,634,199,2019-02-28,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,400,207,2019-02-28,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,226,2019-02-28,19:45:01
stationary traffic,,IC5 (Mesão Frio) (N101),Oliveira Do Castelo (N101),N101,Jam,Major,424,146,2019-02-28,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1341,318,2019-02-28,19:45:01
stationary traffic,,Fermentões,Rua de Santa Eulália (N101),,Jam,Major,177,138,2019-02-28,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,335,2019-02-28,19:45:01
stationary traffic,,Oliveira Do Castelo (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,333,231,2019-02-28,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1099,173,2019-02-28,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,615,153,2019-02-28,19:45:01
stationary traffic,,N105,Rua do Paio Galvão (N101) / Avenida Conde Margaride,,Jam,Major,553,187,2019-02-28,19:45:01
stationary traffic,,N206 (N105),Rua Eduardo Manuel De Almeida (N105),N105,Jam,Major,491,116,2019-02-28,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,215,2019-02-28,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,511,202,2019-02-28,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1139,299,2019-02-28,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1519,393,2019-02-28,19:45:01
stationary traffic,,N105 (N206),"Acesso A11, Guimarães Oeste (N206)",N206,Jam,Major,1755,289,2019-02-28,19:45:01
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,333,43,2019-02-28,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,640,131,2019-02-28,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,190,214,2019-02-28,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,704,150,2019-02-28,19:45:01
stationary traffic,,N207-4 (N309),Rua 24 de Junho (N309),N309,Jam,Major,490,191,2019-02-28,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,609,202,2019-02-28,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1440,213,2019-02-28,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,190,256,2019-02-28,19:45:01
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,582,190,2019-02-28,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,704,220,2019-02-28,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,644,151,2019-02-28,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,511,163,2019-02-28,19:45:01
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,333,35,2019-02-28,19:45:01
stationary traffic,,IC5 (Mesão Frio) (N101),Avenida Do Rio De Janeiro (N101),N101,Jam,Major,441,160,2019-02-28,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,511,180,2019-02-28,19:45:01
queuing traffic,,N101,Largo de Navarros de Andrade,,Jam,Moderate,388,141,2019-02-28,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,209,178,2019-02-28,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,773,196,2019-02-28,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1478,287,2019-02-28,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,906,182,2019-02-28,19:45:01
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,419,30,2019-02-28,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,943,194,2019-02-27,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1541,262,2019-02-27,19:45:01
stationary traffic,,Praceta da Resistência ao Fascismo,Avenida do Rio de Janeiro,,Jam,Major,205,239,2019-02-27,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,681,132,2019-02-27,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,511,164,2019-02-27,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,141,2019-02-27,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,981,188,2019-02-27,19:45:01
stationary traffic,,N105 / Rua de Angola,Alameda Cidade de Lisboa,,Jam,Major,232,396,2019-02-27,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,988,174,2019-02-27,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,423,152,2019-02-27,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,742,263,2019-02-27,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,1072,271,2019-02-27,19:45:01
stationary traffic,,Rua João Paulo II (N101),Rua De Santo António (N101),N101,Jam,Major,1627,982,2019-02-27,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1341,357,2019-02-27,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,726,127,2019-02-27,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,512,87,2019-02-27,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,929,223,2019-02-27,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,730,224,2019-02-27,19:45:01
queuing traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,620,152,2019-02-27,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,315,229,2019-02-27,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,539,211,2019-02-27,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,318,160,2019-02-27,19:45:01
stationary traffic,,São Sebastião,Largo da República do Brasil (N101),,Jam,Major,481,136,2019-02-27,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,588,166,2019-02-27,19:45:01
slow traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Minor,988,116,2019-02-27,19:45:01
stationary traffic,,Parque de Estacionamento / Rua Paulo VI,Urgezes,,Jam,Major,280,149,2019-02-27,19:45:01
queuing traffic,,N105 (N206),"Acesso A11, Guimarães Oeste (N206)",N206,Jam,Moderate,1717,229,2019-02-27,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,476,79,2019-02-27,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,644,140,2019-02-27,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Rua do Centro / Rua Comandante José Luís de Pina,,Jam,Major,410,213,2019-02-27,19:45:01
slow traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Minor,261,32,2019-02-26,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,981,137,2019-02-26,19:45:01
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,539,157,2019-02-26,19:45:01
queuing traffic,,Largo da República do Brasil (N101),São Sebastião,,Jam,Moderate,479,127,2019-02-26,19:45:01
stationary traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Major,201,50,2019-02-26,19:45:01
queuing traffic,,Creixomil,Avenida Dom Afonso Henriques,N105,Jam,Moderate,843,170,2019-02-26,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,981,162,2019-02-26,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,490,147,2019-02-26,19:45:01
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,634,190,2019-02-26,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,779,372,2019-02-26,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1379,387,2019-02-26,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,640,131,2019-02-26,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,180,256,2019-02-26,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,966,360,2019-02-26,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1724,439,2019-02-26,19:45:01
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,667,148,2019-02-26,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,400,131,2019-02-26,19:45:01
stationary traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Major,988,241,2019-02-26,19:45:01
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,568,144,2019-02-26,19:45:01
stationary traffic,,Rua Cónogo Doutor Manuel Faria (N309),IC5 (N309),N309,Jam,Major,326,176,2019-02-26,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1139,304,2019-02-26,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1478,260,2019-02-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,960,196,2019-02-26,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,568,186,2019-02-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,256,214,2019-02-26,19:45:01
stationary traffic,,Rua Calouste Gulbenkian / Praça Cidade Igualada,Largo Condessa Mumadona (N101),,Jam,Major,170,131,2019-02-26,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1110,377,2019-02-26,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1341,260,2019-02-26,19:45:01
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,620,221,2019-02-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,170,2019-02-26,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,491,117,2019-02-26,19:45:01
slow traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Minor,261,29,2019-02-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,794,153,2019-02-26,19:45:01
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,482,51,2019-02-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,256,156,2019-02-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,787,130,2019-02-26,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1535,263,2019-02-26,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,226,37,2019-02-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,704,108,2019-02-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,586,153,2019-02-25,19:45:01
slow traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Minor,964,119,2019-02-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,1062,250,2019-02-25,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,180,173,2019-02-25,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,272,213,2019-02-25,19:45:01
stationary traffic,,Rua João Paulo II (N101),Rua De Santo António (N101),N101,Jam,Major,1489,406,2019-02-25,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1609,324,2019-02-25,19:45:01
stationary traffic,,Rua 24 de Junho / Rua Padre Firmino,Rua de Santa Eulália (N101),,Jam,Major,599,243,2019-02-25,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,590,106,2019-02-25,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,190,154,2019-02-25,19:45:01
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,584,164,2019-02-25,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,209,139,2019-02-25,19:45:01
stationary traffic,,Rua João Paulo II (N101),Rua De Santo António (N101),N101,Jam,Major,1452,785,2019-02-25,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1341,370,2019-02-25,19:45:01
stationary traffic,,Rua 24 de Junho / Rua Padre Firmino,Rua de Santa Eulália (N101),,Jam,Major,599,293,2019-02-25,19:45:01
stationary traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Major,681,169,2019-02-25,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,212,2019-02-25,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1405,365,2019-02-25,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1161,226,2019-02-25,19:45:01
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,634,237,2019-02-25,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,730,136,2019-02-25,19:45:01
queuing traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Moderate,281,47,2019-02-25,19:45:01
stationary traffic,,Largo Bernardo Valentim Moreira de Sá / Alameda São Dâmaso (N101),Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,403,163,2019-02-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,588,148,2019-02-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,588,158,2019-02-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,650,183,2019-02-25,19:45:01
queuing traffic,,Rua Eduardo Manuel De Almeida (N105),IC5/N101 (N105),N105,Jam,Moderate,460,58,2019-02-25,19:45:01
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua João Paulo II (N101),N101,Jam,Major,588,149,2019-02-25,19:45:01
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,582,225,2019-02-25,19:45:01
queuing traffic,,N206 (N105),"Acesso A11, Guimarães Sul (N105)",N105,Jam,Moderate,464,78,2019-02-25,19:45:01
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua João Paulo II (N101),N101,Jam,Major,588,126,2019-02-25,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,147,2019-02-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,876,217,2019-02-25,19:45:01
stationary traffic,,Urgezes,Largo da República do Brasil (N101),,Jam,Major,325,122,2019-02-25,19:45:01
stationary traffic,,Largo Bernardo Valentim Moreira de Sá / Alameda São Dâmaso (N101),Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,403,185,2019-02-24,19:45:01
stationary traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Major,718,162,2019-02-24,19:45:01
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,435,53,2019-02-24,19:45:01
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,333,96,2019-02-24,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,328,339,2019-02-24,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,461,61,2019-02-24,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,177,2019-02-24,19:45:01
slow traffic,,Alameda São Dâmaso,Largo de Navarros de Andrade,N101,Jam,Minor,502,152,2019-02-24,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,247,251,2019-02-24,19:45:01
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,435,92,2019-02-24,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,664,428,2019-02-24,19:45:01
queuing traffic,,N101,Largo de Navarros de Andrade,,Jam,Moderate,323,126,2019-02-24,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,664,514,2019-02-24,19:45:01
queuing traffic,,Alameda de São Dâmaso (N101),Largo de Navarros de Andrade,,Jam,Moderate,279,164,2019-02-24,19:45:01
queuing traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Moderate,216,36,2019-02-24,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,298,246,2019-02-24,19:45:01
stationary traffic,,Rua De Cam?es (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,344,178,2019-02-24,19:45:01
stationary traffic,,Alameda São Dâmaso,Rua Rainha Dona Maria II,N101,Jam,Major,356,226,2019-02-24,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,256,184,2019-02-24,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,338,276,2019-02-24,19:45:01
stationary traffic,,Alameda São Dâmaso,Largo de Navarros de Andrade,N101,Jam,Major,502,304,2019-02-24,19:45:01
stationary traffic,,Rua De Teixeira De Pascoais (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,342,338,2019-02-24,19:45:01
stationary traffic,,Alameda São Dâmaso,Largo de Navarros de Andrade,N101,Jam,Major,502,374,2019-02-24,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,704,458,2019-02-24,19:45:01
queuing traffic,,N101,Rua de Santo António,,Jam,Moderate,281,135,2019-02-24,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,209,155,2019-02-24,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,313,181,2019-02-24,19:45:01
stationary traffic,,Alameda São Dâmaso,Largo 25 de Abril,N101,Jam,Major,223,121,2019-02-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,532,145,2019-02-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,588,145,2019-02-24,19:45:01
queuing traffic,,Rua De Cam?es (N101),Largo Da República Do Brasil (N101),N101,Jam,Moderate,305,120,2019-02-24,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1146,233,2019-02-23,19:45:01
queuing traffic,,N101,Largo de Navarros de Andrade,,Jam,Moderate,417,198,2019-02-23,19:45:01
stationary traffic,,Alameda São Dâmaso,Rua de Santo António,N101,Jam,Major,366,250,2019-02-23,19:45:01
queuing traffic,,N101,Rua Rainha Dona Maria II,,Jam,Moderate,303,151,2019-02-23,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,169,2019-02-23,19:45:01
queuing traffic,,N101,Rua de Santo António,,Jam,Moderate,281,152,2019-02-23,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,558,129,2019-02-23,19:45:01
stationary traffic,,Rua João Paulo II (N101),IC5/N105 (N101),N101,Jam,Major,767,201,2019-02-23,19:45:01
stationary traffic,,N101,Rua Rainha Dona Maria II,,Jam,Major,243,159,2019-02-23,19:45:01
stationary traffic,,N101,Rua Rainha Dona Maria II,,Jam,Major,303,204,2019-02-23,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,820,202,2019-02-22,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1112,240,2019-02-22,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,222,2019-02-22,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,681,234,2019-02-22,19:45:01
slow traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Minor,1067,140,2019-02-22,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,501,85,2019-02-22,19:45:01
slow traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Minor,1099,141,2019-02-22,19:45:01
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,398,2019-02-22,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,130,2019-02-22,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,209,140,2019-02-22,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,851,123,2019-02-22,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,650,239,2019-02-22,19:45:01
stationary traffic,,Vista Alegre (N105),Avenida Da Igreja (N105),N105,Jam,Major,938,312,2019-02-22,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1171,273,2019-02-22,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,299,259,2019-02-22,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,704,133,2019-02-22,19:45:01
stationary traffic,,Rua Cónogo Doutor Manuel Faria,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,373,145,2019-02-22,19:45:01
stationary traffic,,Vista Alegre (N105),Avenida Da Igreja (N105),N105,Jam,Major,938,285,2019-02-22,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1023,169,2019-02-22,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,461,62,2019-02-22,19:45:01
stationary traffic,,Avenida Conde de Margaride / Travessa dos Gaiteiros,Rua do Paio Galvão (N101) / Largo Comandante Luís de Pina (N101),,Jam,Major,401,169,2019-02-22,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,250,203,2019-02-22,19:45:01
queuing traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Moderate,659,121,2019-02-22,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,704,156,2019-02-22,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1023,191,2019-02-22,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,929,241,2019-02-22,19:45:01
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,604,139,2019-02-22,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,299,192,2019-02-22,19:45:01
slow traffic,,N101,Urgezes,,Jam,Minor,787,137,2019-02-22,19:45:01
