Cohen's kappa,#False,#Correct,Error,Accuracy,currentIteration,maxIterations,qualityMeasure,prunning method,enabReduced,minNum,splitAver,Column Header,binNomSplit,useFirstSplit,RowID,knime.workspace
0.7242963813900057,32,118,0.21333333333333335,0.7866666666666666,29,12800,Gain ratio,No pruning,True,1,false,AVERAGE_TEMPERATURE,true,false,Row29,/home/z/knime-workspace
0.7590637907296925,28,122,0.18666666666666668,0.8133333333333334,30,12800,Gain ratio,No pruning,True,1,false,AVERAGE_TEMPERATURE,false,true,Row30,/home/z/knime-workspace
0.7590637907296925,28,122,0.18666666666666668,0.8133333333333334,31,12800,Gain ratio,No pruning,True,1,false,AVERAGE_TEMPERATURE,false,false,Row31,/home/z/knime-workspace
0.7242963813900057,32,118,0.21333333333333335,0.7866666666666666,32,12800,Gain ratio,No pruning,True,1,false,AVERAGE_HUMIDITY,true,true,Row32,/home/z/knime-workspace
0.7242963813900057,32,118,0.21333333333333335,0.7866666666666666,33,12800,Gain ratio,No pruning,True,1,false,AVERAGE_HUMIDITY,true,false,Row33,/home/z/knime-workspace
0.7590637907296925,28,122,0.18666666666666668,0.8133333333333334,34,12800,Gain ratio,No pruning,True,1,false,AVERAGE_HUMIDITY,false,true,Row34,/home/z/knime-workspace
0.7590637907296925,28,122,0.18666666666666668,0.8133333333333334,35,12800,Gain ratio,No pruning,True,1,false,AVERAGE_HUMIDITY,false,false,Row35,/home/z/knime-workspace
0.7242963813900057,32,118,0.21333333333333335,0.7866666666666666,36,12800,Gain ratio,No pruning,True,1,false,AVERAGE_WIND_SPEED,true,true,Row36,/home/z/knime-workspace
0.7242963813900057,32,118,0.21333333333333335,0.7866666666666666,37,12800,Gain ratio,No pruning,True,1,false,AVERAGE_WIND_SPEED,true,false,Row37,/home/z/knime-workspace
0.7590637907296925,28,122,0.18666666666666668,0.8133333333333334,38,12800,Gain ratio,No pruning,True,1,false,AVERAGE_WIND_SPEED,false,true,Row38,/home/z/knime-workspace
0.7590637907296925,28,122,0.18666666666666668,0.8133333333333334,39,12800,Gain ratio,No pruning,True,1,false,AVERAGE_WIND_SPEED,false,false,Row39,/home/z/knime-workspace
0.7229597137250374,32,118,0.21333333333333335,0.7866666666666666,40,12800,Gain ratio,No pruning,True,2,true,AVERAGE_FREE_FLOW_SPEED,true,true,Row40,/home/z/knime-workspace
0.7232950942526084,32,118,0.21333333333333335,0.7866666666666666,41,12800,Gain ratio,No pruning,True,2,true,AVERAGE_FREE_FLOW_SPEED,true,false,Row41,/home/z/knime-workspace
0.7725768321513002,26,122,0.17567567567567569,0.8243243243243243,42,12800,Gain ratio,No pruning,True,2,true,AVERAGE_FREE_FLOW_SPEED,false,true,Row42,/home/z/knime-workspace
0.8163663220088626,21,127,0.14189189189189189,0.8581081081081081,43,12800,Gain ratio,No pruning,True,2,true,AVERAGE_FREE_FLOW_SPEED,false,false,Row43,/home/z/knime-workspace
0.7232950942526084,32,118,0.21333333333333335,0.7866666666666666,44,12800,Gain ratio,No pruning,True,2,true,AVERAGE_TIME_DIFF,true,true,Row44,/home/z/knime-workspace
0.7232950942526084,32,118,0.21333333333333335,0.7866666666666666,45,12800,Gain ratio,No pruning,True,2,true,AVERAGE_TIME_DIFF,true,false,Row45,/home/z/knime-workspace
0.8163663220088626,21,127,0.14189189189189189,0.8581081081081081,46,12800,Gain ratio,No pruning,True,2,true,AVERAGE_TIME_DIFF,false,true,Row46,/home/z/knime-workspace
0.8163663220088626,21,127,0.14189189189189189,0.8581081081081081,47,12800,Gain ratio,No pruning,True,2,true,AVERAGE_TIME_DIFF,false,false,Row47,/home/z/knime-workspace
