0;38.0;38.0;37;0.995;1.0
1;11.0;24.5;10;0.990025;1.0
2;28.0;25.666666666666668;27;0.985074875;1.0
3;18.0;23.75;17;0.9801495006250001;1.0
4;26.0;24.2;25;0.9752487531218751;1.0
5;13.0;22.333333333333332;12;0.9703725093562657;1.0
6;16.0;21.428571428571427;15;0.9655206468094844;1.0
7;12.0;20.25;11;0.960693043575437;1.0
8;14.0;19.555555555555557;13;0.9558895783575597;1.0
9;20.0;19.6;19;0.9511101304657719;1.0
10;19.0;19.545454545454547;18;0.946354579813443;1.0
11;40.0;21.25;39;0.9416228069143757;1.0
12;16.0;20.846153846153847;15;0.9369146928798039;1.0
13;21.0;20.857142857142858;20;0.9322301194154049;1.0
14;14.0;20.4;13;0.9275689688183278;1.0
15;15.0;20.0625;14;0.9229311239742362;1.0
16;24.0;20.294117647058822;23;0.918316468354365;1.0
17;28.0;20.72222222222222;27;0.9137248860125932;1.0
18;22.0;20.789473684210527;21;0.9091562615825302;1.0
19;33.0;21.4;32;0.9046104802746175;1.0
20;22.0;21.428571428571427;21;0.9000874278732445;1.0
21;60.0;23.181818181818183;59;0.8955869907338783;1.0
22;21.0;23.08695652173913;20;0.8911090557802088;1.0
23;18.0;22.875;17;0.8866535105013078;1.0
24;49.0;23.92;48;0.8822202429488013;1.0
25;75.0;25.884615384615383;74;0.8778091417340573;1.0
26;32.0;26.11111111111111;31;0.8734200960253871;1.0
27;20.0;25.892857142857142;19;0.8690529955452602;1.0
28;11.0;25.379310344827587;10;0.8647077305675338;1.0
29;20.0;25.2;19;0.8603841919146962;1.0
30;35.0;25.516129032258064;34;0.8560822709551227;1.0
31;13.0;25.125;12;0.851801859600347;1.0
32;28.0;25.21212121212121;27;0.8475428503023453;1.0
33;19.0;25.029411764705884;18;0.8433051360508336;1.0
34;58.0;25.97142857142857;57;0.8390886103705794;1.0
35;49.0;26.61111111111111;48;0.8348931673187264;1.0
36;23.0;26.513513513513512;22;0.8307187014821328;1.0
37;27.0;26.526315789473685;26;0.8265651079747222;1.0
38;20.0;26.358974358974358;19;0.8224322824348486;1.0
39;16.0;26.1;15;0.8183201210226743;1.0
40;77.0;27.341463414634145;76;0.8142285204175609;1.0
41;17.0;27.095238095238095;16;0.810157377815473;1.0
42;52.0;27.674418604651162;51;0.8061065909263957;1.0
43;19.0;27.477272727272727;18;0.8020760579717637;1.0
44;26.0;27.444444444444443;25;0.798065677681905;1.0
45;30.0;27.5;29;0.7940753492934954;1.0
46;17.0;27.27659574468085;16;0.7901049725470279;1.0
47;49.0;27.729166666666668;48;0.7861544476842928;1.0
48;31.0;27.79591836734694;30;0.7822236754458713;1.0
49;75.0;28.74;74;0.778312557068642;1.0
50;24.0;28.647058823529413;23;0.7744209942832988;1.0
51;24.0;28.557692307692307;23;0.7705488893118823;1.0
52;22.0;28.433962264150942;21;0.7666961448653229;1.0
53;31.0;28.48148148148148;30;0.7628626641409962;1.0
54;83.0;29.472727272727273;82;0.7590483508202912;1.0
55;20.0;29.303571428571427;19;0.7552531090661897;1.0
56;29.0;29.29824561403509;28;0.7514768435208588;1.0
57;46.0;29.586206896551722;45;0.7477194593032545;1.0
58;69.0;30.25423728813559;68;0.7439808620067382;1.0
59;38.0;30.383333333333333;37;0.7402609576967045;1.0
60;88.0;31.327868852459016;87;0.736559652908221;1.0
61;34.0;31.370967741935484;33;0.7328768546436799;1.0
62;42.0;31.53968253968254;41;0.7292124703704616;1.0
63;42.0;31.703125;41;0.7255664080186093;1.0
64;22.0;31.553846153846155;21;0.7219385759785162;1.0
65;39.0;31.666666666666668;38;0.7183288830986236;1.0
66;50.0;31.940298507462686;49;0.7147372386831305;1.0
67;16.0;31.705882352941178;15;0.7111635524897149;1.0
68;24.0;31.594202898550726;23;0.7076077347272662;1.0
69;18.0;31.4;17;0.7040696960536299;1.0
70;29.0;31.366197183098592;28;0.7005493475733617;1.0
71;74.0;31.958333333333332;73;0.697046600835495;1.0
72;35.0;32.0;34;0.6935613678313175;1.0
73;72.0;32.54054054054054;71;0.6900935609921609;1.0
74;15.0;32.306666666666665;14;0.6866430931872001;1.0
75;36.0;32.35526315789474;35;0.6832098777212641;1.0
76;52.0;32.61038961038961;51;0.6797938283326578;1.0
77;13.0;32.35897435897436;12;0.6763948591909945;1.0
78;17.0;32.164556962025316;16;0.6730128848950395;1.0
79;18.0;31.9875;17;0.6696478204705644;1.0
80;147.0;33.407407407407405;146;0.6662995813682115;1.0
81;145.0;34.76829268292683;144;0.6629680834613705;1.0
82;110.0;35.674698795180724;109;0.6596532430440636;1.0
83;90.0;36.32142857142857;89;0.6563549768288433;1.0
84;41.0;36.37647058823529;40;0.653073201944699;1.0
85;21.0;36.19767441860465;20;0.6498078359349755;1.0
86;99.0;36.91954022988506;98;0.6465587967553006;1.0
87;84.0;37.45454545454545;83;0.6433260027715241;1.0
88;21.0;37.26966292134831;20;0.6401093727576664;1.0
89;120.0;38.18888888888889;119;0.6369088258938781;1.0
90;16.0;37.94505494505494;15;0.6337242817644086;1.0
91;114.0;38.77173913043478;113;0.6305556603555866;1.0
92;112.0;39.55913978494624;111;0.6274028820538087;1.0
93;75.0;39.93617021276596;74;0.6242658676435396;1.0
94;42.0;39.95789473684211;41;0.6211445383053219;1.0
95;16.0;39.708333333333336;15;0.6180388156137953;1.0
96;18.0;39.48453608247423;17;0.6149486215357263;1.0
97;180.0;40.91836734693877;179;0.6118738784280476;1.0
98;101.0;41.525252525252526;100;0.6088145090359074;1.0
99;118.0;42.29;117;0.6057704364907278;1.0
